股票代码,总市值
603226,19.77
603227,91.09
603228,190.18
603229,84.1
603230,43.48
603232,32.83
603233,325.38
603235,130.55
603236,135.59
603237,41.35
603238,21.89
603239,38.12
603255,56.23
603256,66.63
603258,79.3
603259,2333.24
603260,798.34
603261,25.2
603266,26.51
603267,137.46
603268,26.99
603269,20.68
603272,17.25
603277,103.73
603278,34.78
603279,175.54
603280,25.58
603281,113.12
603282,38.73
603283,76.85
603286,15.31
603288,2465.01
603289,28.71
603290,351.2
603291,73.39
603296,532.33
603297,96.64
603298,231.74
603299,74.78
603300,116.55
603301,76.92
603303,61.57
603305,223.5
603306,88.57
603307,31.64
603308,104.93
603309,37.43
603311,25.62
603313,53.43
603315,34.29
603316,18.47
603317,158.56
603318,39.7
603319,33.85
603320,17.84
603321,22.81
603322,37.26
603323,81.14
603324,42.3
603326,24.89
603327,84.37
603328,75.68
603329,19.54
603330,36.99
603331,26.87
603332,18.04
603333,29.9
603335,25.26
603336,31.83
603337,97.21
603338,289.18
603339,43.72
603345,432.02
603348,123.34
603351,37.05
603353,35.88
603355,156.56
603356,17.43
603357,55.26
603358,74.94
603359,47.15
603360,38.28
603363,79.96
603365,38.72
603366,49.9
603367,63.23
603368,73.32
603369,736.52
603377,51.97
603378,44.77
603379,180.7
603380,36.09
603383,122.44
603385,30.42
603386,34.3
603387,61.26
603388,33.65
603389,14.4
603390,27.43
603392,812.92
603393,105.81
603396,67.83
603398,76.82
603399,58.24
603408,47.78
603416,52.57
603421,67.37
603429,53.65
603439,65.54
603444,320.27
603456,255.55
603458,31.29
603466,77.26
603477,146.01
603486,429.07
603488,21.58
603489,98.89
603496,57.38
603499,18.49
603500,29.59
603501,1191.88
603505,147.64
603506,24.67
603507,40.05
603508,60.01
603511,66.77
603515,144.21
603516,30.76
603517,229.64
603518,32.78
603519,36.89
603520,51.03
603527,29.09
603528,45.81
603529,291.59
603530,64.93
603533,99.54
603535,38.65
603536,21.11
603538,38.54
603551,45.91
603555,32.53
603556,119.97
603557,12.2
603558,30.08
603559,9.85
603565,231.43
603566,76.9
603567,128.58
603568,299.34
603569,70.38
603577,30.66
603578,25.88
603579,30.82
603580,18.49
603583,73.89
603585,26.68
603586,27.94
603587,70.27
603588,150.57
603589,358.98
603590,53.01
603595,80.47
603596,348.53
603598,26.28
603599,175.24
603600,31.46
603601,47.2
603602,24.75
603603,30.99
603605,431.74
603606,286.78
603607,25.44
603608,19.05
603609,85.69
603610,41.12
603611,60.36
603612,98.33
603613,289.29
603615,22.37
603616,23.07
603617,39.46
603618,41.05
603619,81.36
603626,36.62
603628,39.35
603629,57.18
603630,34.88
603633,38.31
603636,80.35
603637,20.47
603638,146.62
603639,60.29
603648,32.87
603650,176.67
603655,24.39
603656,22.52
603657,21.76
603658,294.95
603659,767.77
603660,31.48
603661,44.11
603662,77.18
603663,44.48
603665,45.73
603666,72.66
603667,48.22
603668,66.07
603669,36.35
603676,46.82
603677,24.98
603678,155.98
603679,23.64
603680,71.95
603681,25.59
603682,30.67
603683,27.45
603685,25.66
603686,41.4
603687,41.65
603688,339.38
603689,40.31
603690,104.27
603693,111.26
603696,22.27
603697,40.63
603698,78.95
603699,106.29
603700,27.84
603701,32.93
603703,42.2
603706,28.31
603707,215.98
603708,81.63
603709,15.23
603711,74.1
603712,209.44
603713,144.15
603716,29.37
603717,19.47
603718,62.73
603719,99.61
603721,21.93
603722,36.51
603725,18.3
603726,23.11
603727,36.57
603728,257.71
603729,14.16
603730,234.06
603733,147.05
603737,405.75
603738,57.19
603739,33.35
603755,31.02
603757,42.36
603758,42.52
603759,39.76
603766,108.02
603767,38.25
603768,31.09
603773,49.13
603776,34.01
603777,48.33
603778,38.64
603779,30.21
603786,329.46
603787,37.26
603788,27.24
603789,24.94
603790,25.66
603797,33.12
603798,26.1
603799,846.67
603800,65.02
603801,103.99
603803,33.33
603806,629.34
603808,44.22
603809,39.93
603810,21.36
603811,38.0
603813,15.47
603815,43.94
603816,341.0
603817,33.56
603818,32.19
603819,33.92
603822,25.4
603823,44.22
603825,32.2
603826,241.39
603828,22.53
603829,23.14
603833,590.94
603836,30.19
603838,20.1
603839,28.78
603843,27.22
603848,59.35
603855,80.85
603856,32.4
603858,208.27
603859,66.89
603860,18.24
603861,38.32
603863,43.55
603866,164.29
603867,67.17
603868,326.83
603869,52.47
603871,124.04
603876,152.8
603877,90.9
603878,45.61
603879,32.57
603880,12.99
603881,102.83
603882,295.38
603883,164.79
603885,395.42
